Index,B cells,Epithelial cells,Mast cells,Myeloids,Stromal cells,T cells
LMLN,0.0029322195,0.054318342,0.006408563,0.012796171,0.040835287,0.00059390115
LMNA,5.7179956,8.19309,13.334233,3.0443447,12.040971,1.5942168
LMNB1,0.023816926,0.3070598,0.20945638,0.08424554,0.047743954,0.09426027
LMNB2,0.030386947,0.6127994,0.019003427,0.056776322,0.13091415,0.026524046
LMNTD2,0.0057757557,0.057321116,0.006630294,0.0028177989,0.001811897,0.0003541788
LMO2,0.01219793,0.008618625,0.012107059,0.11662992,0.3804124,0.00017790742
LMO3,0.0009509705,0.000102066035,0.0067228116,0.00016726714,0.032625314,6.597655e-05
LMO4,0.29559684,0.5139345,0.58933604,0.2503747,0.9531096,0.08904515
LMO7,0.033582564,2.7814336,0.006877616,0.03667567,0.18701829,0.018351024
LMO7-AS1,0.0017680491,0.0065722233,0.0074189426,0.000565261,0.036385793,0.00011969422
LMO7DN,0.00015701006,0.017435929,0.0076902383,0.00046491975,0.0011279031,8.629496e-05
LMOD1,0.00052766904,0.00015718027,0.0068136365,0.00033949176,0.2708366,7.6444536e-05
LMOD3,0.012888718,0.02591769,0.11501412,0.030296212,0.014952529,0.024681997
LMTK2,0.016083093,0.21159914,0.0059170933,0.0019547474,0.023299547,0.0046127243
LMTK3,0.11671032,0.556328,0.006000515,0.00555824,0.008828962,0.00047747087
LMX1A,0.00013341644,0.0012287316,0.008744648,0.00017871062,0.0019489825,4.9642407e-05
LNP1,0.01658899,0.017714534,0.0065758475,0.00036740568,0.019293342,0.00024204692
LNPEP,0.08557476,0.24327105,0.0343572,0.089107044,0.18566518,0.10634196
LNX1,0.004445067,0.11302037,0.011695771,0.00053141534,0.04082273,0.0047013806
LNX2,0.01407654,0.24619919,0.015030185,0.007565986,0.022436414,0.0065498906
LOH12CR2,0.013590348,0.016119136,0.0069850646,0.0026122348,0.021079954,0.0030944615
LONP1,0.04493036,0.5615415,0.018535394,0.07957054,0.14669257,0.021557547
LONP2,0.10338042,0.5790509,0.12286059,0.12578085,0.28195637,0.089274034
LONRF1,0.024450202,0.1059983,0.02664036,0.033984996,0.07267814,0.0038914653
LONRF2,0.00020227543,0.0018522444,0.0139823975,0.0024829786,0.0028211162,0.0001637516
LONRF3,0.0004438854,0.07722273,0.030092126,0.028369974,0.019992467,0.0038777865
LOR,0.00045126997,0.00010998845,0.011674323,0.012553375,0.0005735016,4.6870693e-05
LOX,0.0014460179,0.0067386874,0.006812663,0.00046851704,0.73165977,0.00025777883
LOXHD1,0.00015435404,7.15504e-05,0.007682316,0.0003700365,0.00293426,4.9324834e-05
LOXL1,0.0010043624,0.07245027,0.007222366,0.003249565,1.1893616,0.00225249
LOXL1-AS1,0.0008545611,0.01610923,0.006148399,0.00040228432,0.033756398,0.0065906513
LOXL2,0.0036847335,0.007725542,0.012336092,0.003371945,1.1970073,0.0003918262
LOXL3,0.0010656822,0.014369127,0.007194635,0.03472512,0.09150123,7.353935e-05
LOXL4,0.000863129,0.0023729894,0.0074350936,0.00039748126,0.03698597,6.545961e-05
LPA,0.00014726512,0.00012096945,0.040322483,0.00019373624,0.0002452381,5.7982503e-05
LPAR1,0.0015060222,0.015123363,0.006087446,0.017588213,0.26337376,9.508789e-05
LPAR2,0.032705687,0.24024294,0.006144877,0.016220897,0.010438403,0.08296472
LPAR3,0.00018076309,0.0016425293,0.00867413,0.0033182723,0.005695361,8.861852e-05
LPAR4,0.00019957635,6.0266888e-05,0.0075120274,0.00021950334,0.034212153,8.316659e-05
LPAR5,0.020638833,0.09632999,0.034741588,0.03453654,0.00039867553,0.005939253
LPAR6,0.0010627602,0.0773248,0.0067052846,0.19235401,0.26767835,0.03254565
LPCAT1,0.07444335,0.2410617,0.03831723,0.32559106,0.15310946,0.0436854
LPCAT2,0.0023587241,0.3455772,0.22079067,0.2423892,0.11573111,0.00033612715
LPCAT3,0.03932352,0.42013818,0.054528963,0.0670078,0.17959201,0.041323896
LPCAT4,0.063321374,0.39088774,0.008903817,0.026597168,0.14432697,0.045843408
LPGAT1,0.03224758,0.5773688,0.024755282,0.120086044,0.19844097,0.03275317
LPIN1,0.35025483,0.6165606,0.048657894,0.120897904,0.19346125,0.18926841
LPIN2,0.03329393,0.35800597,0.019081129,0.08822348,0.15804924,0.16933316
LPIN3,0.0049466914,0.2647383,0.0064582755,0.007715967,0.07943945,0.00047885426
LPL,0.0002847323,0.008195106,0.008757184,0.10232575,0.096200496,0.00011176895
LPO,0.00018002841,0.0066596293,0.012261566,0.0007391272,0.00040630944,0.00010334891
LPP,0.069049075,1.0577471,0.023342269,0.26247442,1.3931923,0.08142632
LPP-AS2,0.0005250703,0.01708852,0.006317163,0.010005691,0.014612287,0.00019546867
LPXN,0.32899544,0.043492794,0.23487589,0.64882547,0.038472284,0.2502581
